   Idrfu, 3.6, 38.47, 32.33, 24.62, 9.137, 19.54, 19.21, 6.611, 28.52, 8.854, 24.33, 21.14, 27.31, 6.353, 32.75, 23.43, 30.7, 35.25
Rbrqutqrl, 3.0, 61.02, 20.75, 23.23, 15.57, 22.35, 11.84, 8.583, 16.23, 7.578, 15.92, 52.17, 20.61, 7.617, 35.36, 20.96, 9.097, 13.78
Xufongpq, 2.6, 12.92, 41.9, 10.53, 6.973, 21.0, 29.35, 15.4, 14.99, 12.77, 12.53, 15.16, 35.3, 7.811, 30.32, 11.24, 22.53, 19.36
   Wtkke, 3.3, 51.43, 36.87, 17.56, 8.898, 28.76, 9.163, 22.93, 17.33, 22.04, 32.49, 14.81, 43.75, 8.344, 9.079, 16.65, 43.45, 30.77
   Uomhq, 3.4, 49.51, 28.85, 14.53, 12.75, 8.721, 19.86, 22.09, 5.801, 30.6, 33.58, 25.82, 44.24, 5.08, 45.86, 28.2, 18.0, 21.97
   Tjtpq, 3.0, 22.52, 24.09, 10.42, 7.505, 20.35, 7.751, 12.05, 19.38, 8.479, 22.63, 38.57, 21.32, 12.04, 16.32, 22.52, 47.95, 14.59
Pcsiiuxi, 2.4, 37.55, 7.486, 4.655, 4.851, 11.11, 12.3, 16.82, 15.61, 9.58, 20.92, 27.24, 20.71, 8.637, 18.02, 11.41, 7.149, 23.42
  Wswgxn, 2.0, 35.79, 7.902, 15.87, 10.49, 19.08, 23.93, 4.047, 12.43, 8.6, 4.339, 28.96, 6.76, 7.634, 31.24, 9.8, 31.01, 5.54
   Cwuhe, 3.5, 74.92, 54.75, 17.09, 10.66, 36.87, 15.91, 13.28, 20.65, 30.26, 11.98, 29.74, 24.89, 6.882, 21.35, 31.76, 48.79, 15.95
Xfkjsbhg, 2.8, 37.61, 45.88, 16.54, 7.599, 12.16, 11.55, 11.03, 14.36, 22.04, 25.81, 19.06, 15.51, 10.97, 19.94, 16.79, 14.39, 16.21
Vpgdcmtku, 2.9, 17.97, 24.83, 14.86, 13.31, 20.04, 18.11, 20.13, 14.01, 12.44, 26.9, 45.7, 7.915, 6.732, 29.8, 9.807, 24.45, 7.357
  Spwwrw, 2.8, 39.53, 42.96, 14.02, 14.69, 9.44, 28.02, 13.98, 16.1, 5.587, 16.46, 27.27, 39.3, 5.704, 54.89, 6.931, 23.22, 5.704
   Qojdc, 3.2, 14.83, 45.73, 16.4, 4.57, 16.85, 7.195, 8.171, 16.17, 10.95, 8.597, 45.4, 44.07, 10.69, 35.86, 24.76, 42.21, 30.8
 Dhwcnps, 3.5, 72.15, 36.52, 35.67, 8.083, 21.98, 11.32, 17.23, 20.19, 14.23, 18.12, 22.44, 12.25, 6.906, 47.66, 33.92, 24.91, 7.124
Ckwnqeedg, 2.7, 56.17, 7.67, 24.29, 4.606, 15.5, 25.4, 19.6, 10.83, 19.75, 23.76, 20.7, 13.47, 10.65, 29.71, 26.3, 24.98, 27.49
   Owuqo, 2.4, 51.6, 12.46, 23.75, 10.15, 24.33, 8.544, 17.76, 4.29, 16.95, 22.22, 6.273, 24.97, 4.811, 44.52, 13.1, 15.43, 23.27
Oeppncklj, 3.1, 14.43, 31.66, 34.24, 14.42, 7.228, 36.83, 8.934, 10.47, 26.62, 13.04, 51.1, 23.4, 6.864, 22.31, 8.153, 36.34, 11.93
Gqhcftwhf, 1.8, 14.84, 22.58, 16.73, 5.553, 7.978, 14.65, 11.21, 13.58, 12.76, 9.159, 4.607, 10.94, 6.615, 30.6, 15.42, 22.09, 15.08
 Euqttih, 3.2, 11.13, 37.65, 9.743, 7.641, 9.344, 11.23, 19.31, 10.91, 8.383, 12.33, 28.09, 32.57, 8.376, 63.76, 23.11, 41.49, 8.526
   Ombgf, 2.6, 28.68, 14.41, 27.55, 9.755, 20.26, 25.11, 8.724, 6.83, 8.048, 23.09, 10.19, 34.42, 7.467, 39.68, 8.569, 6.238, 14.67
 Iqhknum, 2.7, 19.83, 36.1, 23.59, 4.332, 28.83, 20.83, 10.36, 18.91, 10.72, 16.7, 23.35, 14.01, 8.683, 27.68, 14.22, 19.91, 20.43
  Ictiqf, 2.4, 49.11, 14.27, 14.75, 4.975, 10.53, 23.5, 16.48, 14.78, 14.99, 9.897, 17.36, 28.74, 4.36, 25.84, 6.21, 35.57, 9.066
Tgljbongg, 3.1, 35.4, 52.18, 12.35, 11.11, 35.0, 30.01, 14.17, 13.15, 22.35, 26.31, 12.25, 43.23, 9.606, 26.0, 30.28, 11.71, 27.33
Bdnlwwst, 2.4, 46.15, 33.46, 8.551, 10.8, 23.26, 24.3, 17.83, 17.52, 7.331, 18.78, 15.29, 7.53, 8.852, 37.89, 12.4, 32.63, 14.07
Ogmikndwu, 3.0, 54.64, 41.96, 18.07, 7.79, 20.12, 29.96, 9.609, 5.727, 25.23, 23.37, 17.8, 22.01, 9.907, 44.34, 7.441, 31.67, 6.849
   Fljjn, 2.6, 36.39, 7.642, 27.7, 4.135, 18.03, 26.74, 7.027, 6.793, 13.66, 5.252, 42.83, 16.85, 10.08, 42.65, 25.99, 38.45, 13.99
   Gflij, 2.6, 49.17, 38.93, 23.64, 11.49, 8.996, 29.77, 7.467, 20.12, 7.803, 18.7, 30.71, 23.72, 10.38, 25.85, 12.84, 35.0, 8.272
Jecrrhgw, 2.3, 47.83, 19.58, 18.8, 4.053, 26.64, 22.15, 17.38, 16.29, 6.953, 14.03, 36.9, 23.32, 6.842, 14.02, 11.45, 8.864, 15.57
  Nmjgeo, 3.1, 54.53, 34.72, 21.38, 10.64, 17.27, 6.539, 23.54, 5.257, 6.003, 9.184, 38.12, 21.52, 9.311, 40.5, 10.45, 43.54, 23.21
   Upslm, 2.4, 46.35, 28.15, 22.7, 10.28, 12.98, 15.98, 14.62, 10.05, 11.0, 6.385, 38.78, 16.42, 5.601, 21.62, 21.74, 5.816, 4.985
   Ltvvt, 2.7, 11.09, 21.41, 28.37, 13.41, 25.28, 16.2, 10.92, 12.1, 12.32, 24.81, 42.14, 30.74, 8.372, 33.33, 21.29, 9.498, 9.163
Uupmlqdkc, 3.9, 41.12, 36.52, 20.63, 19.64, 14.07, 18.97, 24.03, 6.952, 31.34, 24.95, 66.1, 14.88, 14.27, 14.45, 32.25, 27.21, 35.97
