   Eiord, 2.5, 13.51, 21.59, 30.18, 6.488, 31.72, 51.76, 20.88, 43.64, 16.43, 30.66, 41.67, 39.68, 36.72, 7.842, 6.753, 8.941, 8.299
Tdnvubqlm, 1.9, 14.25, 10.5, 4.948, 13.39, 16.37, 40.92, 8.752, 25.57, 8.767, 8.326, 21.14, 24.26, 6.954, 17.95, 6.796, 11.02, 11.62
Ljrctbpej, 3.2, 24.83, 42.75, 43.98, 20.47, 42.33, 32.91, 22.5, 16.06, 10.16, 23.98, 46.91, 11.24, 45.16, 38.12, 13.66, 30.3, 25.31
   Bmqqh, 3.1, 25.49, 14.37, 37.74, 17.7, 33.86, 10.9, 17.45, 36.83, 8.933, 13.09, 45.46, 19.66, 27.07, 14.8, 16.67, 11.79, 13.49
Dihrxnkvw, 2.6, 18.01, 9.43, 38.43, 5.117, 40.65, 37.92, 11.19, 7.329, 7.923, 23.15, 15.03, 46.6, 38.67, 11.68, 4.098, 9.688, 13.65
 Iliktmn, 3.2, 6.104, 10.39, 34.42, 6.13, 39.84, 36.09, 27.37, 50.75, 7.978, 26.22, 54.07, 38.22, 44.74, 24.77, 9.308, 40.14, 8.537
Ckknrdpp, 3.7, 36.6, 52.64, 40.37, 19.25, 32.52, 60.65, 34.77, 12.16, 33.45, 41.66, 13.04, 37.11, 47.96, 41.51, 5.768, 54.75, 9.669
   Jfcbn, 3.3, 7.947, 14.34, 17.63, 5.56, 45.95, 41.98, 20.61, 44.53, 25.91, 34.32, 15.81, 15.22, 42.61, 35.61, 12.22, 21.9, 26.22
  Ndhvuc, 2.7, 10.55, 36.16, 13.94, 19.14, 46.65, 32.7, 6.832, 16.19, 14.3, 32.49, 36.75, 24.67, 33.54, 10.73, 13.58, 19.4, 19.88
Nwsxkjfe, 3.2, 13.05, 10.62, 47.7, 23.62, 14.63, 61.0, 19.79, 59.25, 27.19, 6.549, 48.66, 59.1, 50.42, 28.45, 17.08, 34.1, 21.08
Ljpkrjxw, 2.5, 22.02, 12.19, 36.67, 16.57, 9.965, 45.2, 34.18, 40.67, 21.77, 6.087, 39.6, 29.05, 32.12, 38.22, 13.32, 5.899, 5.064
  Ubwrwm, 3.3, 28.27, 13.38, 17.72, 16.44, 34.91, 49.81, 30.13, 62.35, 37.74, 39.29, 12.2, 42.38, 20.45, 19.64, 8.667, 27.83, 7.817
  Uweglp, 3.2, 27.37, 45.85, 16.4, 22.11, 20.59, 50.92, 7.654, 55.14, 9.27, 26.47, 48.31, 23.82, 45.01, 28.82, 18.71, 8.786, 21.28
Rxvqgftef, 3.7, 36.13, 53.19, 41.56, 23.22, 49.48, 23.8, 9.599, 17.42, 31.24, 42.25, 19.16, 39.06, 42.36, 8.606, 11.25, 36.57, 10.0
 Oijttis, 3.6, 12.22, 44.8, 27.65, 24.7, 66.2, 13.21, 9.808, 61.4, 21.45, 17.35, 52.42, 69.78, 45.85, 21.82, 16.04, 9.416, 15.4
  Vnjomx, 3.3, 13.92, 24.46, 32.42, 18.37, 45.32, 58.2, 40.53, 11.15, 14.53, 16.88, 10.91, 53.8, 28.33, 37.86, 6.833, 38.81, 20.76
   Husun, 1.7, 9.145, 23.4, 17.72, 7.735, 21.89, 23.74, 16.13, 8.009, 15.89, 17.07, 28.03, 23.68, 10.72, 8.306, 3.578, 14.74, 3.978
  Vqnske, 2.9, 27.85, 35.98, 41.6, 8.051, 12.06, 51.09, 14.37, 22.36, 18.35, 30.81, 48.03, 26.56, 14.27, 11.67, 13.82, 7.478, 18.18
Vtngjxqh, 3.1, 12.86, 8.564, 19.21, 11.06, 15.97, 55.1, 26.88, 54.4, 20.85, 11.53, 48.96, 44.58, 33.27, 45.19, 14.84, 21.75, 13.9
Tcwrerkqb, 3.7, 18.75, 39.96, 39.34, 19.97, 30.91, 62.41, 38.4, 32.11, 24.66, 11.92, 52.89, 23.67, 26.9, 14.24, 18.27, 41.76, 17.35
